Filter-Beschreibung: This Filter filters out all words that are not in the reference database. 
asylund: 12; 0.0428%; Rang: 79; Referenz: 0.0%
friedensrichter: 5; 0.0179%; Rang: 86; Referenz: 0.0%
staatsgold: 4; 0.0143%; Rang: 87; Referenz: 0.0%
transferunion: 3; 0.0107%; Rang: 88; Referenz: 0.0%
umsatzsteuerpflicht: 3; 0.0107%; Rang: 88; Referenz: 0.0%
regelbedarfssätze: 3; 0.0107%; Rang: 88; Referenz: 0.0%
betreuungsgehalt: 3; 0.0107%; Rang: 88; Referenz: 0.0%
abwehrrechte: 3; 0.0107%; Rang: 88; Referenz: 0.0%
familiensplitting: 3; 0.0107%; Rang: 88; Referenz: 0.0%
ausbuchungsgefahr: 2; 0.0071%; Rang: 89; Referenz: 0.0%
mehrgliedriges: 2; 0.0071%; Rang: 89; Referenz: 0.0%
parteibuchwirtschaft: 2; 0.0071%; Rang: 89; Referenz: 0.0%
flüchtlingspakt: 2; 0.0071%; Rang: 89; Referenz: 0.0%
schutzgedankens: 2; 0.0071%; Rang: 89; Referenz: 0.0%
gentg: 2; 0.0071%; Rang: 89; Referenz: 0.0%
gasp: 2; 0.0071%; Rang: 89; Referenz: 0.0%
neugestalten: 2; 0.0071%; Rang: 89; Referenz: 0.0%
polygamie: 2; 0.0071%; Rang: 89; Referenz: 0.0%
dauerrettung: 2; 0.0071%; Rang: 89; Referenz: 0.0%
aufkäufe: 2; 0.0071%; Rang: 89; Referenz: 0.0%
versteuertem: 2; 0.0071%; Rang: 89; Referenz: 0.0%
disziplinarrechte: 2; 0.0071%; Rang: 89; Referenz: 0.0%
berufspolitikertum: 2; 0.0071%; Rang: 89; Referenz: 0.0%
genderforschung: 2; 0.0071%; Rang: 89; Referenz: 0.0%
bleiberechtsregelungen: 2; 0.0071%; Rang: 89; Referenz: 0.0%
eigentumsbildung: 2; 0.0071%; Rang: 89; Referenz: 0.0%
vertragswidrige: 2; 0.0071%; Rang: 89; Referenz: 0.0%
vollzugsdefizit: 2; 0.0071%; Rang: 89; Referenz: 0.0%
beitragsgedeckten: 2; 0.0071%; Rang: 89; Referenz: 0.0%
unwissenschaftlichen: 2; 0.0071%; Rang: 89; Referenz: 0.0%
zentralistische: 2; 0.0071%; Rang: 89; Referenz: 0.0%
hirntodes: 2; 0.0071%; Rang: 89; Referenz: 0.0%
substanzsteuern: 2; 0.0071%; Rang: 89; Referenz: 0.0%
betriebskindergärten: 2; 0.0071%; Rang: 89; Referenz: 0.0%
emissionspotential: 2; 0.0071%; Rang: 89; Referenz: 0.0%
ersteinreiseland: 2; 0.0071%; Rang: 89; Referenz: 0.0%
unterschieds: 2; 0.0071%; Rang: 89; Referenz: 0.0%
widerrufsverfahren: 2; 0.0071%; Rang: 89; Referenz: 0.0%
zivilrechtsordnung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bargeldabschaffung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kleinkindphase: 1; 0.0036%; Rang: 90; Referenz: 0.0%
besteuerungsrecht: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bonusbzw: 1; 0.0036%; Rang: 90; Referenz: 0.0%
schutzbereichs: 1; 0.0036%; Rang: 90; Referenz: 0.0%
schutzberechtigt: 1; 0.0036%; Rang: 90; Referenz: 0.0%
meinungswächter: 1; 0.0036%; Rang: 90; Referenz: 0.0%
schienenwegen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
clintel: 1; 0.0036%; Rang: 90; Referenz: 0.0%
fahndungstechnik: 1; 0.0036%; Rang: 90; Referenz: 0.0%
selbstbetreuung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ämterpatronage: 1; 0.0036%; Rang: 90; Referenz: 0.0%
orderly: 1; 0.0036%; Rang: 90; Referenz: 0.0%
energieerzeugungsanlagen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rechtszustand: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ideologisierte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
aufnahmebereite: 1; 0.0036%; Rang: 90; Referenz: 0.0%
klimaschädlinge: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bankengruppenspezifische: 1; 0.0036%; Rang: 90; Referenz: 0.0%
unterhaltspflichten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
korpsgeist: 1; 0.0036%; Rang: 90; Referenz: 0.0%
neubürgers: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zukunftsfähiger: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ausbildungsfähige: 1; 0.0036%; Rang: 90; Referenz: 0.0%
trennungskonflikts: 1; 0.0036%; Rang: 90; Referenz: 0.0%
verschulung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
deutschlan: 1; 0.0036%; Rang: 90; Referenz: 0.0%
magisterstudiengänge: 1; 0.0036%; Rang: 90; Referenz: 0.0%
strafvollzuges: 1; 0.0036%; Rang: 90; Referenz: 0.0%
stiftungsfinanzierung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
sparerpauschbetrages: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kostenerstattungspflicht: 1; 0.0036%; Rang: 90; Referenz: 0.0%
hafenterminals: 1; 0.0036%; Rang: 90; Referenz: 0.0%
